,wind_speed,wind_angle,yaw,pitch,roll,heading,variation,rate_of_turn,cog,sog,rudder_angle_order,rudder_position,latitude,longitude,depth
wind_speed,1.0,-0.18921303171791556,0.6971118001548152,-0.2513876442016535,0.18725928090955882,-0.36425985758898327,-0.03425980203047753,0.05265913698521268,-0.6155735076059342,0.15196789935182348,-0.4901556485253672,0.0618540701971834,-0.5086727682225596,-0.4177991151533493,0.6626690192684156
wind_angle,-0.18921303171791556,1.0,0.05948474969568657,-0.09393463972539251,-0.022797337691390474,0.2079163779393862,0.06333751653168247,-0.08119629621456034,0.20748486902283667,-0.10910659377984597,0.028779048052780025,-0.06023345819649875,0.014864985927505854,0.03541299711287221,0.04037650002188118
yaw,0.6971118001548152,0.05948474969568657,1.0,-0.3768118074043634,0.20153128472454118,-0.49894028368172283,0.09565024253844029,-0.04692645239991699,-0.5385048811694421,-0.2452587616975115,-0.1671748827414164,-0.021379155649391048,-0.16656422941851315,-0.07672861184622773,0.47374718755799206
pitch,-0.2513876442016535,-0.09393463972539251,-0.3768118074043634,1.0,-0.06057679724183018,0.2655713893375107,-0.3859076894707666,-0.28167203538158153,0.25030655638052135,0.38517368193577306,-0.01914688657673682,-0.27417687575445265,-0.02683939180732529,-0.1921331226917928,-0.2799659936493911
roll,0.18725928090955882,-0.022797337691390474,0.20153128472454118,-0.06057679724183018,1.0,0.005438085961483907,-0.08314194489132894,-0.48271218806459854,-0.11322964564152616,0.3211507929887994,-0.24872397134821503,-0.337432852157435,-0.22215076545829487,-0.26560144130175806,0.13725912622377073
heading,-0.36425985758898327,0.2079163779393862,-0.49894028368172283,0.2655713893375107,0.005438085961483907,1.0,-0.4893957388881142,0.0933730680732512,0.5910363078865665,0.5926300003211427,-0.4719567049726879,0.008693536536799933,-0.46985629043592214,-0.5507721877648281,0.03695507007898292
variation,-0.03425980203047753,0.06333751653168247,0.09565024253844029,-0.3859076894707666,-0.08314194489132894,-0.4893957388881142,1.0,0.04012880293252072,-0.22309893828788166,-0.49169321761086565,0.4184738975813064,0.05100898215933774,0.43537745333675687,0.6110626901527052,0.0024878594540171245
rate_of_turn,0.05265913698521268,-0.08119629621456034,-0.04692645239991699,-0.28167203538158153,-0.48271218806459854,0.0933730680732512,0.04012880293252072,1.0,0.03196566922948538,-0.13729193016188856,-0.037354167471037494,0.6748416801613818,-0.04343629524148386,0.016146971447572656,0.038322164637726724
cog,-0.6155735076059342,0.20748486902283667,-0.5385048811694421,0.25030655638052135,-0.11322964564152616,0.5910363078865665,-0.22309893828788166,0.03196566922948538,1.0,0.14705123324043376,0.05217487797330231,0.05234114919315045,0.05451005002101017,-0.02921162533958431,-0.289477964442224
sog,0.15196789935182348,-0.10910659377984597,-0.2452587616975115,0.38517368193577306,0.3211507929887994,0.5926300003211427,-0.49169321761086565,-0.13729193016188856,0.14705123324043376,1.0,-0.7181296227349973,-0.20731598311475063,-0.7131309578352254,-0.808262321786523,0.2445341841480795
rudder_angle_order,-0.4901556485253672,0.028779048052780025,-0.1671748827414164,-0.01914688657673682,-0.24872397134821503,-0.4719567049726879,0.4184738975813064,-0.037354167471037494,0.05217487797330231,-0.7181296227349973,1.0,0.0416288470436011,0.9929661912454235,0.9555027789751299,-0.7458167924118042
rudder_position,0.0618540701971834,-0.06023345819649875,-0.021379155649391048,-0.27417687575445265,-0.337432852157435,0.008693536536799933,0.05100898215933774,0.6748416801613818,0.05234114919315045,-0.20731598311475063,0.0416288470436011,1.0,0.02697241208217369,0.07668113095729584,0.04623463645304778
latitude,-0.5086727682225596,0.014864985927505854,-0.16656422941851315,-0.02683939180732529,-0.22215076545829487,-0.46985629043592214,0.43537745333675687,-0.04343629524148386,0.05451005002101017,-0.7131309578352254,0.9929661912454235,0.02697241208217369,1.0,0.9612283050838674,-0.7615830291321185
longitude,-0.4177991151533493,0.03541299711287221,-0.07672861184622773,-0.1921331226917928,-0.26560144130175806,-0.5507721877648281,0.6110626901527052,0.016146971447572656,-0.02921162533958431,-0.808262321786523,0.9555027789751299,0.07668113095729584,0.9612283050838674,1.0,-0.6060043941136025
depth,0.6626690192684156,0.04037650002188118,0.47374718755799206,-0.2799659936493911,0.13725912622377073,0.03695507007898292,0.0024878594540171245,0.038322164637726724,-0.289477964442224,0.2445341841480795,-0.7458167924118042,0.04623463645304778,-0.7615830291321185,-0.6060043941136025,1.0
